"par1","par2","par3","par4","par5","par6","par7","ncmt"
"ka","v","alpha","beta","aob","","","1"
"v","alpha","beta","aob","","","","1"
"ka","vc","alpha","beta","aob","","","1"
"vc","alpha","beta","aob","","","","1"
"ka","v1","alpha","beta","aob","","","1"
"v1","alpha","beta","aob","","","","1"
"ka","v","alpha","beta","k21","","","1"
"v","alpha","beta","k21","","","","1"
"ka","vc","alpha","beta","k21","","","1"
"vc","alpha","beta","k21","","","","1"
"ka","v1","alpha","beta","k21","","","1"
"v1","alpha","beta","k21","","","","1"
"ka","v","alpha","","","","","2"
"v","alpha","","","","","","2"
"ka","vc","alpha","","","","","2"
"vc","alpha","","","","","","2"
"ka","v1","alpha","","","","","2"
"v1","alpha","","","","","","2"
"ka","a","alpha","b","beta","c","gamma","3"
"a","alpha","b","beta","c","gamma","","3"
"ka","a","alpha","b","beta","","","2"
"a","alpha","b","beta","","","","2"
"ka","a","alpha","","","","","1"
"a","alpha","","","","","","1"
