"par1","par2","par3","par4","par5","par6","par7","ncmt"
"ka","cl","q","q2","v","vp","vp2","3"
"cl","q","q2","v","vp","vp2","","3"
"ka","cl","q","q2","vc","vp","vp2","3"
"cl","q","q2","vc","vp","vp2","","3"
"ka","cl","q1","q2","v","vp","vp2","3"
"cl","q1","q2","v","vp","vp2","","3"
"ka","cl","q1","q2","vc","vp","vp2","3"
"cl","q1","q2","vc","vp","vp2","","3"
"ka","cl","cld","cld2","v","vp","vp2","3"
"cl","cld","cld2","v","vp","vp2","","3"
"ka","cl","cld","cld2","vc","vp","vp2","3"
"cl","cld","cld2","vc","vp","vp2","","3"
"ka","cl","q","q2","v","v2","v3","3"
"cl","q","q2","v","v2","v3","","3"
"ka","cl","q","q2","v2","v3","vc","3"
"cl","q","q2","v2","v3","vc","","3"
"ka","cl","q","q2","v1","v2","v3","3"
"cl","q","q2","v1","v2","v3","","3"
"ka","cl","q1","q2","v","v2","v3","3"
"cl","q1","q2","v","v2","v3","","3"
"ka","cl","q1","q2","v2","v3","vc","3"
"cl","q1","q2","v2","v3","vc","","3"
"ka","cl","q1","q2","v1","v2","v3","3"
"cl","q1","q2","v1","v2","v3","","3"
"ka","cl","q2","v2","v3","","","2"
"cl","q2","v2","v3","","","","2"
"ka","cl","q2","v3","vss","","","2"
"cl","q2","v3","vss","","","","2"
"ka","cl","q2","v","v3","","","2"
"cl","q2","v","v3","","","","2"
"ka","cl","q2","v3","vc","","","2"
"cl","q2","v3","vc","","","","2"
"ka","cl","q2","v1","v3","","","2"
"cl","q2","v1","v3","","","","2"
"ka","cl","cld","cld2","v","v2","v3","3"
"cl","cld","cld2","v","v2","v3","","3"
"ka","cl","cld","cld2","v2","v3","vc","3"
"cl","cld","cld2","v2","v3","vc","","3"
"ka","cl","cld","cld2","v1","v2","v3","3"
"cl","cld","cld2","v1","v2","v3","","3"
"ka","cl","q","v2","v3","","","2"
"cl","q","v2","v3","","","","2"
"ka","cl","q1","v2","v3","","","2"
"cl","q1","v2","v3","","","","2"
"ka","cl","cld","v2","v3","","","2"
"cl","cld","v2","v3","","","","2"
"ka","cl","q","v3","vss","","","2"
"cl","q","v3","vss","","","","2"
"ka","cl","q1","v3","vss","","","2"
"cl","q1","v3","vss","","","","2"
"ka","cl","cld","v3","vss","","","2"
"cl","cld","v3","vss","","","","2"
"ka","cl","q","v","v3","","","2"
"cl","q","v","v3","","","","2"
"ka","cl","q","v3","vc","","","2"
