"par1","par2","par3","par4","par5","par6","par7","ncmt"
"ka","v","k","","","","","1"
"v","k","","","","","","1"
"ka","vc","k","","","","","1"
"vc","k","","","","","","1"
"ka","v1","k","","","","","1"
"v1","k","","","","","","1"
"ka","v","ke","","","","","1"
"v","ke","","","","","","1"
"ka","vc","ke","","","","","1"
"vc","ke","","","","","","1"
"ka","v1","ke","","","","","1"
"v1","ke","","","","","","1"
"ka","v","kel","","","","","1"
"v","kel","","","","","","1"
"ka","vc","kel","","","","","1"
"vc","kel","","","","","","1"
"ka","v1","kel","","","","","1"
"v1","kel","","","","","","1"
