Function,Description,Aliases
gamma(x),The Gamma function,gammafn
lgamma(x),Natural logarithm of absolute value of gamma function,digamma
digamma(x),First derivative of lgamma,
trigamma(x),Second derivative of lgamma,
tetragamma(x),Third derivative of lgamma,
pentagamma(x),Fourth derivative of lgamma,
"psigamma(x, deriv)","n-th derivative of Psi, the digamma function, which is the derivative of lgammafn. In other words, digamma(x) is the same as psigamma(x,0), trigamma(x) == psigamma(x,1), etc. ",
cospi(x),cos(pi*x),
sinpi(x),sin(pi*x),
tanpi(x),tan(pi*x),
"beta(a, b)",Beta function,
"lbeta(a, b)",log Beta function,
"bessel_i(x, nu, expo)",Bessel function type I with index nu, expo==1 is unscaled expo==2 is scaled by exp(-x)
"bessel_j(x, nu)",Bessel function type J with index nu,
"bessel_k(x, ku, expo)",Bessel function type K with index nu, expo==1 is unscaled expo==2 is scaled by exp(x)
"bessel_y(x, nu)",Bessel function type Y with index nu,
"R_pow(x, y)",x^y,
"R_pow_di(x, I)",x^y, y is an integer
log1pmx,log(1+x) – x ,
log1pexp,log(1+exp(x)),
expm1(x),exp(x)-1,
lgamma1p(x),log(gamma(x+1)),
sign(x),"Compute the signum function where sign(x) is 1, 0 -1",
"fsign(x, y)",abs(x)*sign(y),
"fprec(x, digits)","x rounded to digits (after the decimal point, used by signif()",
"fround(x, digits)","Round, used by R’s round()",
ftrunc(x),Truncated towards zero,
abs(x),absolute value of x,fabs
sin(x),sine of x,
cos(x),cos of x,
tan(x),tan of x,
factorial(x),factorial of x,
lfactorial(x),log(factorial(x)),
log10(x),log base 10,
log2(x),log base 2,
pnorm(x),Normal CDF of x,"normcdf, phi"
qnorm(x),Normal pdf of x,norminv
"probit(x, low=0, hi=1)",Probit (normal pdf) of x transforming into a range,
"probitInv(q, low=0, hi=1)",Inverse probit of x transforming into a range,
acos(x),Inverse cosine,
asin(x),Inverse sine,
atan(x),Inverse tangent,
"atan2(a, b)",Four quadrant inverse tangent,
sinh(x),Hyperbolic sine,
cosh(x),Hyperbolic cosine,
tanh(x),Hyperbolic tangent,
floor(x),Downward rounding,
ceil(x),Upward rounding,
"logit(x, low=0, hi=1)",Logit transformation of x transforming into a range,
"expit(x, low=0, hi=1)",expit transofmration in range,"invLogit, logitInv"
"gammaq(a, z)",Normalized incomplete gamma from boost,
"gammaqInv(a, q)",Normalized incomplete gamma inverse from boost,
"ifelse(cond, trueValue, falseValue)",if else function,
"gammap(a, z)",Normalized lower incomplete gamma from boost,
"gammapInv(a, p)",Inverse of Normalized lower incomplete gamma from boost,
"gammapInva(x, p)",Inverse of Normalized lower incomplete gamma from boost,
rxnorm(x),Generate one deviate of from a normal distribution,
rxnormV(x),Generate one deviate from low discrepancy normal,
rxcauchy,Generate one deviate from the cauchy distribution,
rxchisq,Generate one deviate from the chisq distribution,
rxexp,Generate one deviate from the exponential distribution,
rxf,Generate one deviate from low discrepancy normal,
rxgamma,Generate one deviate from the gamma distribution,
rxbeta,Generate one deviate from the beta distribution,
rxgeom,Generate one deviate from the geometric distribution,
rxpois,Generate one deviate from the poission distribution,
rxt,Generate one deviate from the t distribtuion,
tad() or tad(x),Time after dose (tad()) or time after dose for a compartment tad(cmt),
tafd() or tafd(x),Time after first dose (tafd()) or time after first dose for a compartment tafd(cmt),
dosenum(),Dose Number,
tlast() or tlast(cmt),,
tfirst() or tfirst(cmt),,
prod(...),,
sum(...),,
max(…),,
min(…),,
"lag(parameter, number=1)",,
"lead(parameter, number=2)",,
diff(par),,
first(par),,
last(par),,
transit(),,
is.na(),,
is.nan(),,
is.infinite(),,
